Model,Train_RMSE,Train_MAE,Train_R2,Train_Spearman,Test_RMSE,Test_MAE,Test_R2,Test_Spearman
SVR_RBF__MinMaxScaler,23.12341591018435,17.824456510579544,0.5182828408337934,0.7240291555829989,23.6080639156849,18.598432619597475,0.5070146339320327,0.713983480511903
SVR_RBF__MaxAbsScaler,23.45817602385962,18.245616680761334,0.5042341398711419,0.714695723639488,23.786197599129036,18.769012924414213,0.4995469643780085,0.7080740155883622
RF__QuantileNorm,9.122174768354812,7.296317460317461,0.925030448615491,0.9731431185867422,23.967159264131407,19.28651322751323,0.49190326192782086,0.6980107787625693
RF__NoScaler,9.124800777463312,7.295051587301587,0.9249872792909655,0.9731659142853804,23.978772756913344,19.281396825396822,0.49141073735522944,0.6976307628266158
RF__MinMaxScaler,9.124314168616678,7.295018518518519,0.924995279658559,0.97316345723537,23.98015778087724,19.280370370370374,0.4913519830005222,0.6976506892347035
RF__MaxAbsScaler,9.123522901878061,7.293822751322752,0.9250082880153444,0.9731637133139958,23.98371090333782,19.28214285714286,0.49120123982338637,0.6975277914921209
RF__StandardScaler,9.1262674191683,7.295839947089947,0.9249631635587201,0.973156544598928,23.983836346394888,19.28374603174603,0.4911959174244397,0.6976237616625183
RF__RobustScaler,9.126034488001373,7.295449735449735,0.9249669938639303,0.9731358131958304,23.984365051290816,19.28394708994709,0.4911734848018463,0.6977337617961955
RF__Power_YeoJohnson,9.123559963442208,7.293125661375662,0.925007678751616,0.9731613405833028,23.986879596332646,19.280857142857144,0.4910667874380825,0.6975720623884927
SVR_RBF__Power_YeoJohnson,21.54861752134251,15.857428783651208,0.5816623422642785,0.7654872195763177,23.99526941355081,18.91352938668896,0.49071070916288917,0.7067486983550713
SVR_RBF__QuantileNorm,21.716717682709042,16.059732072854892,0.5751100035701282,0.7602140153000619,24.131999246448448,18.956966318872087,0.4848901088100266,0.7007290842997508
SVR_RBF__StandardScaler,21.841908392772474,16.250817809687984,0.570197143318747,0.75940575417981,24.239950258508756,19.302013814990417,0.4802712616412651,0.6995780618690995
SVR_RBF__RobustScaler,21.938350967204713,16.346906446132202,0.5663931892877268,0.7568209343478383,24.240696576891487,19.25583610192959,0.48023925752586405,0.6997489010127033
OLS__Power_YeoJohnson,24.78813626890693,20.136553208792414,0.4464257440295316,0.6794814926044367,24.746511768989407,20.052286579842228,0.4583219176081722,0.6873268386756387
ElasticNet__Power_YeoJohnson,24.788412524840727,20.140133255673323,0.44641340514099903,0.6794935552574662,24.748715200807254,20.057017075850617,0.45822545117525815,0.6876575740425647
Lasso__Power_YeoJohnson,24.788181314910016,20.137709919177873,0.44642373207268016,0.6794754520915428,24.749257568524264,20.054985007505557,0.458201704953076,0.6874547940505081
